2.29E+07	5.18E+07	6.20E+07	5.58E+07	4.04E+07	2.52E+07	1.45E+07	7.70E+06	3.89E+06	1.88E+06
4.65E+07	2.25E+07	1.30E+06	6.70E+06	3.18E+07	4.58E+07	4.44E+07	3.70E+07	2.44E+07	1.54E+07
4.00E+07	3.00E+05	1.60E+07	2.01E+07	6.00E+06	6.00E+05	1.49E+07	2.98E+07	3.74E+07	3.60E+07
2.34E+07	1.09E+07	1.57E+07	1.00E+05	1.25E+07	1.83E+07	6.90E+06	1.00E+05	6.13E+06	1.95E+07
8.80E+06	1.86E+07	4.00E+05	1.37E+07	7.50E+06	1.00E+05	9.20E+06	1.48E+07	8.97E+06	6.44E+05
2.00E+06	1.52E+07	6.70E+06	9.20E+06	1.50E+06	1.35E+07	5.70E+06	4.00E+05	9.29E+06	1.49E+07
4.00E+05	5.90E+06	7.80E+06	1.00E+05	1.00E+07	1.90E+06	6.50E+06	1.15E+07	3.34E+06	5.17E+05
1.00E+05	1.70E+06	7.90E+06	5.10E+06	3.20E+06	4.10E+06	8.40E+06	0.00E+00	5.70E+06	8.69E+06
0.00E+00	5.00E+05	3.20E+06	7.00E+06	4.00E+05	6.60E+06	0.00E+00	7.40E+06	3.50E+06	3.16E+05
0.00E+00	1.00E+06	1.10E+06	4.30E+06	4.60E+06	7.00E+05	4.40E+06	2.10E+06	1.64E+06	5.96E+06
0.00E+00	2.00E+05	1.90E+06	5.00E+06	4.40E+06	1.10E+06	3.10E+06	1.10E+06	4.32E+06	7.99E+04
0.00E+00	0.00E+00	0.00E+00	5.00E+05	2.80E+06	3.50E+06	0.00E+00	4.30E+06	6.46E+04	3.26E+06
